# $Id: errors.txt 1.47 1994/09/02 20:01:48 rll Exp $

# Error database
###################################
# ERR_INFO	>= 0
# ERR_WARNING	>= 2000
# ERR_MINOR	>= 4000
# ERR_SEVERE    >= 6000
# ERR_FATAL     >= 8000 

#### MULTI-LINE ERROR MESSAGES ARE SUPPORTED
# Simply use '\' to "escape" the eol

# global errors (0-99)
###################################
0000    Version 2.0
0001	exécution de '%s'...
0002	exécution de '%s' à la ligne '%d'...
0003	avertissement
# minor error
0004	erreur
# major error
0005	erreur
0006	erreur irrémédiable
2000	impossible d'ouvrir le fichier '%s'
2001	erreur lors de la lecture à partir du fichier '%s', veuillez vérifier les autorisations
2002	erreur lors de l'écriture dans le fichier '%s', veuillez vérifier les autorisations 
2003	%s pas encore pris en charge
2004	erreur système, %s
2005	impossible de lire le répertoire '%s'
2006	impossible d'écrire dans le répertoire '%s'
2007    impossible d'exécuter le sous-processus '%s'
2008	le fichier '%s' existe déjà
2009	génération de '%s' n'a pas abouti
4000	impossible d'enregistrer le programme '%s' avec le serveur EBT
4001	impossible d'obtenir une autorisation depuis le serveur EBT
4002	impossible de supprimer le fichier '%s'
4003	aucun fichier du type '%s'
4004	erreur lors de la lecture à partir du fichier '%s', veuillez vérifier les autorisations
4005	erreur lors de l'écriture dans le fichier '%s', veuillez vérifier les autorisations 
4006    impossible d'allouer de l'espace pour '%s'
4007	impossible d'ouvrir le fichier, autorisations insuffisantes associées au fichier '%s'
4008	occurence associée à '%s' dupliquée, utilisation de l'occurrence n°%d
4012	impossible d'obtenir l'autorisation associée à l'option '%s'
6001	impossible de répondre à l'appel rpc '%s'
6002	impossible d'enregistrer les routines rpc
6003    impossible d'ouvrir le socket
6004	impossible de se connecter au serveur %s au niveau '%s'
6005	erreur rpc
6006	impossible d'allouer de l'espace à %s
6007	impossible de libérer suffisamment de mémoire
6008    impossible d'envoyer l'appel rpc '%s'
6010	impossible de créer %s
6011	erreur à la ligne %d dans le fichier '%s'
6015	Majuscule/Minuscule erronée dans le switch associé à %s
6016	La fonction '%s' a échoué lorsqu'elle a été appelée depuis '%s'
8000	impossible d'allouer de l'espace à %s
8001	erreur lors de la lecture à partir du fichier '%s', veuillez vérifier les autorisations
8002	erreur lors de l'écriture dans le fichier '%s', veuillez vérifier les autorisations 
8003	impossible d'ouvrir le fichier '%s'
8004	'%s' est une variable .ebtrc obligatoire
8005	service d'autorisation incorrect '%s'
8006    impossible d'ouvrir le socket
8007    impossible d'enregistrer la routine rpc
8008    impossible d'atteindre ce point '%s'
8009	impossible de répondre à l'appel rpc '%s'
8010	impossible de créer %s
8011	chiffre magique erroné dans %s
8012	impossible de trouver le fichier '%s'


# pcolors package (100-109)
###################################
